deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2023-09-20T15:49,2023-09-20T15:41:00Z,['rosette'],153,2,9,1,2.0,-73.8624,40.3326,-73.8624,40.3326,0,8.037,0.007,8.045,0.001,-0.008,2125,3,2097,2,28,20.7,0.1,20.7,0.0,30.89,0.09,30.88,0.04
recovery,2023-10-19T15:14,2023-10-19T14:55:00Z,['single_niskin'],118,2,20,3,2.0,-74.2251,39.4322,-74.2248,39.4325,42,8.079,0.01,8.071,0.002,0.008,2120,2,2113,0,7,17.4,0.0,17.4,0.0,30.85,0.07,30.9,0.0
