deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-07-23T15:58,2024-07-23T15:14:00Z,['rosette'],159,1,45,3,2.0,-73.8669,40.3638,-73.87,40.3696,696,7.899,0.023,7.938,0.0,-0.039,1965,11,2006,0,-41,21.6,0.4,21.2,0.0,27.91,0.28,27.8,0.0
deployment,2024-07-23T15:58,2024-07-23T15:14:00Z,['rosette'],159,1,45,3,3.0,-73.8669,40.3638,-73.87,40.3696,696,7.899,0.023,7.924,0.0,-0.025,1965,11,2014,0,-49,21.6,0.4,20.7,0.0,27.91,0.28,28.34,0.0
deployment,2024-07-23T15:58,2024-07-23T15:14:00Z,['rosette'],109,2,45,13,13.0,-73.8669,40.3638,-73.87,40.3696,696,7.693,0.023,7.674,0.0,0.019,2122,3,2145,0,-23,11.0,0.2,10.8,0.0,31.14,0.05,31.1,0.0
recovery,2024-08-23T14:26,2024-08-23T14:55:00Z,['rosette'],247,2,29,1,2.0,-74.3329,39.3252,-74.3336,39.3244,107,7.863,0.008,7.92,0.005,-0.057,2090,2,2106,0,-16,21.6,0.2,21.5,0.0,30.48,0.04,30.52,0.0
recovery,2024-08-23T14:26,2024-08-23T14:55:00Z,['rosette'],178,2,29,13,13.0,-74.3329,39.3252,-74.3336,39.3244,107,7.815,0.018,7.842,0.005,-0.027,2098,2,2112,0,-14,20.2,0.5,20.0,0.1,30.67,0.04,30.68,0.02
