deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2023-11-03T15:14,2023-11-03T15:10:00Z,['single_niskin'],220,1,4,2,2.0,-73.889,40.2508,-73.8894,40.2508,33,7.996,0.001,7.965,0.0,0.031,2064,0,2109,0,-45,14.7,0.0,14.7,0.0,29.65,0.01,29.63,0.0
recovery,2023-12-05T20:18,2023-12-05T19:46:00Z,['single_niskin'],135,2,32,3,2.0,-74.203,39.3454,-74.2046,39.3427,330,8.114,0.001,8.101,0.001,0.013,2147,0,2156,0,-9,11.2,0.0,11.3,0.0,31.73,0.0,31.74,0.0
