deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-09-04T17:13,2024-09-04T16:20:00Z,['rosette'],126,2,53,3,2.0,-73.8652,40.3529,-73.8779,40.3599,1328,7.911,0.002,7.95,0.0,-0.039,2118,1,2104,0,14,21.6,0.0,21.5,0.0,30.81,0.02,30.58,0.02
deployment,2024-09-04T17:13,2024-09-04T16:20:00Z,['rosette'],95,2,53,21,21.0,-73.8652,40.3529,-73.8779,40.3599,1328,7.833,0.012,7.631,0.002,0.202,2142,2,2146,2,-4,16.4,0.4,15.2,0.0,31.32,0.04,31.48,0.02
recovery,2024-10-04T14:15,2024-10-04T14:57:00Z,['single_niskin'],99,2,42,2,2.0,-74.3575,39.301,-74.3592,39.3012,147,7.825,0.001,8.026,0.001,-0.201,2071,2,2122,1,-51,20.7,0.1,20.6,0.0,29.76,0.03,30.66,0.0
recovery,2024-10-04T14:15,2024-10-04T14:57:00Z,['single_niskin'],83,2,42,8,8.0,-74.3575,39.301,-74.3592,39.3012,147,7.827,0.001,8.006,0.007,-0.179,2075,0,2125,1,-50,20.6,0.0,20.6,0.0,29.87,0.01,30.77,0.0
