deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-02-15T17:25,2024-02-15T17:15:00Z,['single_niskin'],96,2,11,3,2.0,-73.872,40.2102,-73.8741,40.2085,259,8.136,0.001,8.131,0.001,0.005,2093,1,2111,0,-18,5.5,0.1,5.5,0.0,30.59,0.07,30.49,0.0
deployment,2024-02-15T17:25,2024-02-15T17:15:00Z,['single_niskin'],121,2,11,21,21.0,-73.872,40.2102,-73.8741,40.2085,259,8.095,0.003,8.092,0.0,0.003,2120,1,2123,0,-3,6.0,0.0,6.0,0.0,31.16,0.01,31.2,0.01
recovery,2024-03-14T16:49,2024-03-14T17:35:00Z,['single_niskin'],248,2,46,1,2.0,-74.1615,39.17,-74.1623,39.1698,72,8.1,0.006,8.084,0.002,0.016,2101,6,2099,0,2,7.8,0.7,7.5,0.0,30.23,0.14,30.31,0.0
recovery,2024-03-14T16:49,2024-03-14T17:35:00Z,['single_niskin'],171,2,46,19,19.0,-74.1615,39.17,-74.1623,39.1698,72,8.081,0.003,8.056,0.0,0.025,2142,0,2131,0,11,7.0,0.0,6.9,0.0,31.25,0.01,31.28,0.0
