deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-06-12T17:55,2024-06-12T17:10:00Z,['rosette'],108,1,46,15,15.0,-73.8439,40.3759,-73.8491,40.376,440,7.874,0.018,7.911,0.0,-0.037,2087,4,2114,0,-27,10.7,0.2,10.5,0.0,30.46,0.08,30.6,0.0
deployment,2024-06-12T17:55,2024-06-12T17:10:00Z,['rosette'],113,1,46,19,19.0,-73.8439,40.3759,-73.8491,40.376,440,7.79,0.019,7.794,0.0,-0.004,2098,1,2104,0,-6,9.7,0.2,9.6,0.0,30.66,0.02,30.77,0.0
recovery,2024-07-09T15:09,2024-07-09T15:03:00Z,['rosette'],204,2,7,1,2.0,-74.2958,39.3634,-74.2944,39.3678,503,7.837,0.021,7.937,0.005,-0.1,2103,2,2109,1,-6,20.9,2.1,19.2,0.0,30.76,0.04,30.8,0.0
recovery,2024-07-09T15:09,2024-07-09T15:03:00Z,['single_niskin'],138,1,7,10,10.0,-74.2958,39.3634,-74.2944,39.3678,503,7.867,0.01,7.867,0.0,0.0,2126,1,2136,0,-10,11.7,0.0,11.7,0.0,31.22,0.02,31.2,0.0
