deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2023-04-20T17:40,2023-04-20T17:35:00Z,['rosette'],71,2,6,4,2.0,-73.7525,40.325,-73.7522,40.3237,146,8.27,0.002,8.284,0.002,-0.014,2116,0,2137,1,-21,11.0,0.0,11.2,0.0,30.63,0.01,30.54,0.04
deployment,2023-04-20T17:40,2023-04-20T17:35:00Z,['rosette'],125,2,6,16,16.0,-73.7525,40.325,-73.7522,40.3237,146,8.063,0.01,8.034,0.0,0.029,2191,1,2184,1,7,7.3,0.0,7.3,0.0,32.42,0.02,32.38,0.01
recovery,2023-05-12T17:43,2023-05-12T17:47:00Z,['rosette'],149,2,3,3,2.0,-74.1469,39.3991,-74.1444,39.4016,351,7.985,0.006,7.965,0.005,0.02,2121,0,2110,0,11,15.1,0.2,15.1,0.0,30.77,0.01,30.68,0.1
recovery,2023-05-12T17:43,2023-05-12T17:47:00Z,['rosette'],138,2,3,17,17.0,-74.1469,39.3991,-74.1444,39.4016,351,7.949,0.006,7.904,0.002,0.045,2182,1,2166,1,16,9.7,0.0,9.7,0.0,32.21,0.02,32.16,0.01
