deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-09-04T17:17,2024-09-04T16:20:00Z,['rosette'],215,2,58,2,2.0,-73.8691,40.3546,-73.8779,40.3599,950,7.891,0.002,7.95,0.0,-0.059,2113,5,2104,0,9,21.6,0.1,21.5,0.0,30.59,0.12,30.58,0.02
recovery,2024-10-05T14:23,2024-10-05T14:38:00Z,['rosette'],110,2,15,2,2.0,-74.3564,39.3042,-74.355,39.3032,163,7.949,0.001,8.015,0.001,-0.066,2107,1,2124,1,-17,20.7,0.0,20.7,0.0,30.57,0.01,30.62,0.04
recovery,2024-10-05T14:23,2024-10-05T14:38:00Z,['rosette'],134,2,15,10,10.0,-74.3564,39.3042,-74.355,39.3032,163,7.932,0.003,7.997,0.003,-0.065,2118,0,2129,1,-11,20.7,0.0,20.7,0.0,30.8,0.01,30.82,0.0
