deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2023-08-17T16:09,2023-08-17T15:45:00Z,['rosette'],198,2,25,3,2.0,-73.7407,40.3421,-73.7442,40.3425,299,8.084,0.014,8.105,0.003,-0.021,2064,13,2067,2,-3,23.4,0.1,23.4,0.0,29.81,0.29,29.46,0.02
deployment,2023-08-17T16:09,2023-08-17T15:45:00Z,['rosette'],139,1,25,10,10.0,-73.7407,40.3421,-73.7442,40.3425,299,7.994,0.01,8.02,0.0,-0.026,2125,8,2100,0,25,19.1,0.9,20.4,0.0,31.18,0.15,31.0,0.0
deployment,2023-08-17T16:09,2023-08-17T15:45:00Z,['rosette'],182,2,25,20,20.0,-73.7407,40.3421,-73.7442,40.3425,299,7.786,0.005,7.732,0.002,0.054,2160,0,2157,1,3,14.7,0.0,14.7,0.0,31.88,0.01,31.86,0.01
recovery,2023-09-20T13:53,2023-09-20T10:20:00Z,['single_niskin'],202,2,214,3,2.0,-74.3229,39.2664,-74.3243,39.2648,214,7.941,0.004,7.93,0.006,0.011,2119,0,2102,1,17,22.4,0.0,22.4,0.0,30.82,0.0,30.78,0.0
recovery,2023-09-20T13:53,2023-09-20T10:20:00Z,['single_niskin'],162,2,214,13,13.0,-74.3229,39.2664,-74.3243,39.2648,214,7.936,0.005,7.924,0.002,0.012,2119,0,2100,0,19,22.4,0.0,22.4,0.0,30.82,0.0,30.81,0.0
