deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-10-21T18:02,2024-10-21T18:01:00Z,['rosette'],37,1,1,1,2.0,-73.8585,40.3738,-73.8623,40.3753,362,7.989,0.009,8.041,0.0,-0.052,2157,2,2168,0,-11,17.6,0.4,17.0,0.0,31.62,0.08,31.72,0.0
deployment,2024-10-21T18:02,2024-10-21T18:01:00Z,['rosette'],46,1,1,21,21.0,-73.8585,40.3738,-73.8623,40.3753,362,7.933,0.002,7.962,0.0,-0.029,2170,1,2174,0,-4,16.9,0.1,16.9,0.0,31.97,0.02,31.98,0.0
recovery,2024-11-19T18:28,2024-11-19T19:57:00Z,['rosette'],114,2,88,2,2.0,-74.1329,39.3132,-74.1294,39.3143,325,8.005,0.002,8.043,0.0,-0.038,2188,0,2195,1,-7,15.0,0.0,15.0,0.0,32.3,0.0,32.29,0.0
recovery,2024-11-19T18:28,2024-11-19T19:57:00Z,['rosette'],129,2,88,20,20.0,-74.1329,39.3132,-74.1294,39.3143,325,7.998,0.001,8.032,0.001,-0.034,2188,0,2195,0,-7,14.9,0.0,14.9,0.0,32.3,0.0,32.3,0.0
