deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-04-29T16:45,2024-04-29T16:24:00Z,['rosette'],59,2,22,2,2.0,-73.8825,40.2614,-73.8862,40.2623,329,8.047,0.013,8.09,0.004,-0.043,2052,1,2052,2,0,10.9,0.9,10.8,0.0,29.11,0.05,29.14,0.01
deployment,2024-04-29T16:45,2024-04-29T16:24:00Z,['rosette'],59,1,22,15,15.0,-73.8825,40.2614,-73.8862,40.2623,329,7.932,0.009,8.033,0.0,-0.101,2133,0,2083,0,50,8.0,0.0,8.0,0.0,31.04,0.01,31.02,0.0
recovery,2024-05-29T16:28,2024-05-29T16:50:00Z,['rosette'],231,1,21,0,2.0,-74.272,39.377,-74.269,39.385,926,7.881,0.014,7.934,0.0,-0.053,2058,2,2049,0,9,18.1,0.7,17.2,0.0,29.28,0.03,29.31,0.0
recovery,2024-05-29T16:28,2024-05-29T16:50:00Z,['single_niskin'],145,1,21,10,10.0,-74.272,39.377,-74.269,39.385,926,7.934,0.008,7.987,0.0,-0.053,2105,3,2100,0,5,12.1,0.2,12.2,0.0,30.38,0.06,30.38,0.0
