deployment_recovery,glider_date,discrete_date,collection_method,glider_n,discrete_n,time_difference_minutes,glider_depth_m,discrete_depth_m,glider_lon,glider_lat,discrete_lon,discrete_lat,distance_m,glider_ph,glider_ph_std,discrete_ph,discrete_ph_std,diff_ph,glider_ta,glider_ta_std,discrete_ta,discrete_ta_std,diff_ta,glider_temp,glider_temp_std,discrete_temp,discrete_temp_std,glider_sal,glider_sal_std,discrete_sal,discrete_sal_std
deployment,2024-07-23T15:42,2024-07-23T15:14:00Z,['rosette'],138,1,29,3,2.0,-73.8661,40.3591,-73.87,40.3696,1213,7.903,0.041,7.938,0.0,-0.035,1968,14,2006,0,-38,21.5,0.6,21.2,0.0,27.91,0.32,27.8,0.0
deployment,2024-07-23T15:42,2024-07-23T15:14:00Z,['rosette'],138,1,29,3,3.0,-73.8661,40.3591,-73.87,40.3696,1213,7.903,0.041,7.924,0.0,-0.021,1968,14,2014,0,-46,21.5,0.6,20.7,0.0,27.91,0.32,28.34,0.0
deployment,2024-07-23T15:42,2024-07-23T15:14:00Z,['rosette'],129,2,29,13,13.0,-73.8661,40.3591,-73.87,40.3696,1213,7.788,0.021,7.674,0.0,0.114,2123,3,2145,0,-22,10.8,0.2,10.8,0.0,31.15,0.06,31.1,0.0
recovery,2024-08-15T16:04,2024-08-15T17:01:00Z,['single_niskin'],266,2,57,1,2.0,-74.3506,39.3237,-74.3593,39.3229,753,7.959,0.01,8.031,0.0,-0.072,2052,1,2071,5,-19,22.9,0.5,22.4,0.0,29.76,0.03,29.74,0.0
recovery,2024-08-15T16:04,2024-08-15T17:01:00Z,['single_niskin'],126,1,57,8,8.0,-74.3506,39.3237,-74.3593,39.3229,753,7.902,0.018,7.865,0.0,0.037,2062,4,2081,0,-19,20.6,0.5,20.2,0.0,29.97,0.08,30.04,0.0
