project,station_id,glider_trajectory,deployment_recovery,date_utc,time_utc,lat_degrees,lat_mins,lon_degrees,lon_mins,sample,cast,niskin,bottle_size_ml,sample_notes,depth_m,temperature_degrees_c,salinity,pH_avg_25degC,pH_stdev,TA_avg,TA_stdev,DIC_avg,DIC_stdev,analysis_notes
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:35,40,19.47,-73,45.131,RMI-RU-001,1,3,500,,1.605,11.1282,30.5841,,,2137.359046,,1864.546562,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:35,40,19.47,-73,45.131,RMI-RU-002,1,3,500,,1.605,11.1282,30.5841,8.072292026,,,,,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:35,40,19.47,-73,45.131,RMI-RU-003,1,2,500,,9.149,8.8978,31.5408,,,2158.548583,,1943.240717,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:35,40,19.47,-73,45.131,RMI-RU-004,1,2,500,,9.149,8.8978,31.5408,7.954733848,,,,,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:35,40,19.47,-73,45.131,RMI-RU-005,1,1,500,,15.19,7.3262,32.3837,,,2184.481966,,2033.500917,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:35,40,19.47,-73,45.131,RMI-RU-006,1,1,500,,15.19,7.3262,32.3837,7.770826167,,,,,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:59,40,19.425,-73,44.873,RMI-RU-007,2,3,500,,1.333,11.1769,30.5044,,,2135.758154,,1860.657197,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:59,40,19.425,-73,44.873,RMI-RU-008,2,3,500,,1.333,11.1769,30.5044,8.068768595,,,,,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:59,40,19.425,-73,44.873,RMI-RU-009,2,2,500,,9.106,8.3547,31.9534,,,2150.047145,,1915.81878,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:59,40,19.425,-73,44.873,RMI-RU-010,2,2,500,,9.106,8.3547,31.9534,7.977443984,,,,,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:59,40,19.425,-73,44.873,RMI-RU-011,2,1,500,,15.318,7.3334,32.3729,,,2183.328012,,2032.818566,,
RMI,RU39 RMI 2023 #1 Spring Deployment,ru39-20230420T1636,deployment,4/20/23,17:59,40,19.425,-73,44.873,RMI-RU-012,2,1,500,,15.318,7.3334,32.3729,7.770339421,,,,,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,17:47,39,24.099,-74,8.665,RMI-RU-013,1,3,500,,1.653,15.1014,30.5827,,,2110.333814,,1951.464148,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,17:47,39,24.099,-74,8.665,RMI-RU-014,1,3,500,,1.653,15.1014,30.5827,7.82515461,,,,,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,17:47,39,24.099,-74,8.665,RMI-RU-015,1,2,500,,11.619,11.9223,31.294,,,2141.357419,,2002.216003,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,17:47,39,24.099,-74,8.665,RMI-RU-016,1,2,500,,11.619,11.9223,31.294,7.760743486,,,,,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,17:47,39,24.099,-74,8.665,RMI-RU-017,1,1,500,,16.567,9.7244,32.1458,,,2164.712951,,2049.099801,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,17:47,39,24.099,-74,8.665,RMI-RU-018,1,1,500,,16.567,9.7244,32.1458,7.684544078,,,,,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,18:00,39,24.303,-74,8.553,RMI-RU-019,2,3,500,,1.675,15.1122,30.7839,,,2110.718359,,1950.883718,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,18:00,39,24.303,-74,8.553,RMI-RU-020,2,3,500,,1.675,15.1122,30.7839,7.814803796,,,,,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,18:00,39,24.303,-74,8.553,RMI-RU-021,2,2,500,,11.534,10.9787,31.9231,,,2113.095009,,1952.814767,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,18:00,39,24.303,-74,8.553,RMI-RU-022,2,2,500,,11.534,10.9787,31.9231,7.829710304,,,,,,
RMI,RU39 RMI 2023 #1 Spring Recovery,ru39-20230420T1636,recovery,5/12/23,18:00,39,24.303,-74,8.553,RMI-RU-023,2,1,500,,16.434,9.7076,32.1653,,,2166.715525,,2053.373109,,
