glider_trajectory,acoustics_configuration,deployment_recovery,tow_number,season,date_utc,time_utc_start,time_utc_end,lat_degrees_start,lat_mins_start,lat_degrees_end,lat_mins_end,lon_degrees_start,lon_mins_start,lon_degrees_end,lon_mins_end,sample_notes,water_column_depth,net_depth,volume_filtered,taxa,taxa_group,count,concentration,temp_min,temp_max,sal_min,sal_max
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Oithona similis,Copepod (small),3776,341.2716796,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Oithona colcarva,Copepod (small),1952,176.4201056,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Paracalanus sp.,Copepod (small),1536,138.8223782,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Centropages typicus,Copepod (small),1120,101.2246507,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Calanopia americana,Copepod (small),992,89.65611923,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Centropages hamatus,Copepod (small),896,80.97972059,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Naupli,Other,640,57.84265756,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Evadne nordmanni,Cladoceran,608,54.95052469,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Pluteus larva,Other,320,28.92132878,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Chaetognath,Chaetognath,160,14.46066439,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,1,Winter,2/27/2026,17:18,17:22,40,11.931,40,11.881,-73,52.107,-73,52.176,Depth logger recorded PSI at sea level the entire time,20,15,11.06449854,Acartia tonsa,Copepod (small),64,5.784265756,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Oithona similis,Copepod (small),4928,886.5512295,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Paracalanus sp.,Copepod (small),1664,299.3549606,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Oithona colcarva,Copepod (small),1408,253.3003513,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Centropages hamatus,Copepod (small),1056,189.9752635,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Calanopia americana,Copepod (small),800,143.9206541,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Centropages typicus,Copepod (small),512,92.10921865,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Evadne nordmanni,Cladoceran,448,80.59556632,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Naupli,Other,384,69.08191399,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Pluteus larva,Other,256,46.05460932,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Barnacle larva,Other,160,28.78413083,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Chaetognath,Chaetognath,160,28.78413083,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Hydrozoan,Other,64,11.51365233,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Fish larva,Other,32,5.756826166,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Hydrozoan,Other,32,5.756826166,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Egg sack,Other,7,1.259305724,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Mysid,Other,1,0.179900818,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Fish larva,Other,4,0.719603271,1.95,3.08,31.5,32.9
ru40-20260227T1605,zooplankton,deployment,2,Winter,2/27/2026,17:27,17:30,40,11.882,40,11.914,-73,52.16,-73,52.132,"Depth logger did not work, see note above",20,15,5.558618426,Pteropod,Pteropod,3,0.539702453,1.95,3.08,31.5,32.9
